"2305.11916","Wei Zhu","Xiangxiang Gao, Wei Zhu, Jiasheng Gao, Congrui Yin","F-PABEE: Flexible-patience-based Early Exiting for Single-label and
  Multi-label text Classification Tasks","accepted by ICASSP-2023",,,,"cs.CL","http://creativecommons.org/licenses/by/4.0/","  Computational complexity and overthinking problems have become the
bottlenecks for pre-training language models (PLMs) with millions or even
trillions of parameters. A Flexible-Patience-Based Early Exiting method
(F-PABEE) has been proposed to alleviate the problems mentioned above for
single-label classification (SLC) and multi-label classification (MLC) tasks.
F-PABEE makes predictions at the classifier and will exit early if predicted
distributions of cross-layer are consecutively similar. It is more flexible
than the previous state-of-the-art (SOTA) early exiting method PABEE because it
can simultaneously adjust the similarity score thresholds and the patience
parameters. Extensive experiments show that: (1) F-PABEE makes a better
speedup-accuracy balance than existing early exiting strategies on both SLC and
MLC tasks. (2) F-PABEE achieves faster inference and better performances on
different PLMs such as BERT and ALBERT. (3) F-PABEE-JSKD performs best for
F-PABEE with different similarity measures.
","[{""version"":""v1"",""created"":""Sun, 21 May 2023 12:17:27 GMT""}]","2023-05-23"
"2305.12221","Daniela Zaharie","M\u{a}d\u{a}lina-Andreea Mitran, Anna V. Kononova, Fabio Caraffini,
  Daniela Zaharie","Patterns of Convergence and Bound Constraint Violation in Differential
  Evolution on SBOX-COST Benchmarking Suite",,,,,"cs.NE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This study investigates the influence of several bound constraint handling
methods (BCHMs) on the search process specific to Differential Evolution (DE),
with a focus on identifying similarities between BCHMs and grouping patterns
with respect to the number of cases when a BCHM is activated. The empirical
analysis is conducted on the SBOX-COST benchmarking test suite, where bound
constraints are enforced on the problem domain. This analysis provides some
insights that might be useful in designing adaptive strategies for handling
such constraints.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:04:06 GMT""}]","2023-05-23"
"2305.12222","Xiaowen Zhang","Xiaowen Zhang, Patrick Lachance, Yueying Ni, Yin Li, Rupert A.C.
  Croft, Tiziana Di Matteo, Simeon Bird, Yu Feng","AI-assisted super-resolution cosmological simulations III: Time
  evolution","12 pages, 11 figures, code and movie available in
  https://github.com/sagasv5-xw/map2map on styled srsgan branch",,,,"astro-ph.CO","http://creativecommons.org/licenses/by/4.0/","  In this work, we extend our recently developed super-resolution (SR) model
for cosmological simulations to produce fully time consistent evolving
representations of the particle phase-space distribution. We employ a
style-based constrained generative adversarial network (Style-GAN) where the
changing cosmic time is an input style parameter to the network. The matter
power spectrum and halo mass function agree well with results from
high-resolution N-body simulations over the full trained redshift range ($10
\le z \le 0$). Furthermore, we assess the temporal consistency of our SR model
by constructing halo merger trees. We examine progenitors, descendants and mass
growth along the tree branches. All statistical indicators demonstrate the
ability of our SR model to generate satisfactory high-resolution simulations
based on low-resolution inputs.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:08:20 GMT""}]","2023-05-23"
"2305.12223","Guangzhi Wang","Guangzhi Wang, Yixiao Ge, Xiaohan Ding, Mohan Kankanhalli, Ying Shan","What Makes for Good Visual Tokenizers for Large Language Models?","15 pages, 3 figures. Project released at:
  https://github.com/TencentARC/GVT",,,"01","cs.CV","http://creativecommons.org/licenses/by/4.0/","  We empirically investigate proper pre-training methods to build good visual
tokenizers, making Large Language Models (LLMs) powerful Multimodal Large
Language Models (MLLMs). In our benchmark, which is curated to evaluate MLLMs
visual semantic understanding and fine-grained perception capabilities, we
discussed different visual tokenizers pre-trained with dominant methods (i.e.,
DeiT, CLIP, MAE, DINO), and observe that: i) Fully/weakly supervised models
capture more semantics than self-supervised models, but the gap is narrowed by
scaling up the pre-training dataset. ii) Self-supervised models are better at
fine-grained perception, where patch-level supervision is particularly
effective. iii) Tuning the visual tokenizer leads to the loss of semantics
obtained from large-scale pretraining, which is unfavorable with relatively
small-scale instruction-tuning dataset. Given the findings, we reviewed methods
that attempted to unify semantics and fine-grained visual understanding, e.g.,
patch-level feature distillation with semantically-rich targets. We obtain an
intriguing insight mask-based strategies that were once all the rage may not be
applicable for obtaining good visual tokenizers. Based on this critical
observation, we obtain a new MLLM equipped with a tailored Good Visual
Tokenizer (GVT), which exhibits strong visual comprehension capability at
multiple scales. In particular, without introducing extra parameters and
task-specific fine-tuning, GVT achieves superior performance on visual question
answering, image captioning, and other fine-grained visual understanding tasks
such as object counting and multi-class identification.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:11:26 GMT""},{""version"":""v2"",""created"":""Tue, 23 May 2023 10:35:35 GMT""}]","2023-05-24"
"2305.12224","Jieyu Zhang","Jieyu Zhang, Bohan Wang, Zhengyu Hu, Pang Wei Koh, Alexander Ratner","On the Trade-off of Intra-/Inter-class Diversity for Supervised
  Pre-training","18 pages",,,,"cs.LG stat.ML","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Pre-training datasets are critical for building state-of-the-art machine
learning models, motivating rigorous study on their impact on downstream tasks.
In this work, we study the impact of the trade-off between the intra-class
diversity (the number of samples per class) and the inter-class diversity (the
number of classes) of a supervised pre-training dataset. Empirically, we found
that with the size of the pre-training dataset fixed, the best downstream
performance comes with a balance on the intra-/inter-class diversity. To
understand the underlying mechanism, we show theoretically that the downstream
performance depends monotonically on both types of diversity. Notably, our
theory reveals that the optimal class-to-sample ratio (#classes / #samples per
class) is invariant to the size of the pre-training dataset, which motivates an
application of predicting the optimal number of pre-training classes. We
demonstrate the effectiveness of this application by an improvement of around 2
points on the downstream tasks when using ImageNet as the pre-training dataset.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:23:50 GMT""}]","2023-05-23"
"2305.12225","Jason Baretz","Jason Baretz and Nicholas Carrara and Jacob Hollingsworth and Daniel
  Whiteson","Visualization and Efficient Generation of Constrained High-dimensional
  Theoretical Parameter Spaces",,,,,"hep-ph hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We describe a set of novel methods for efficiently sampling high-dimensional
parameter spaces of physical theories defined at high energies, but constrained
by experimental measurements made at lower energies. Often, theoretical models
such as supersymmetry are defined by many parameters, $\mathcal{O}(10-100)$,
expressed at high energies, while relevant experimental constraints are often
defined at much lower energies, preventing them from directly ruling out
portions of the space. Instead, the low-energy constraints define a complex,
potentially non-contiguous subspace of the theory parameters. Naive scanning of
the theory space for points which satisfy the low-energy constraints is
hopelessly inefficient due to the high dimensionality, and the inverse problem
is considered intractable. As a result, many theoretical spaces remain
under-explored. We introduce a class of modified generative autoencoders, which
attack this problem by mapping the high-dimensional parameter space to a
structured low-dimensional latent space, allowing for easy visualization and
efficient generation of theory points which satisfy experimental constraints.
An extension without dimensional compression, which focuses on limiting
potential information loss, is also introduced.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:25:08 GMT""}]","2023-05-23"
"2305.12226","Taylor Dupuy","Taylor Dupuy and Ehud Hrushovski","The Theory of the Entire Algebraic Functions",,,,,"math.LO math.NT","http://creativecommons.org/licenses/by-nc-nd/4.0/","  Let A be the integral closure of the ring of polynomials CC[t], within the
field of algebraic functions in one variable. We show that A interprets the
ring of integers. This contrasts with the analogue for finite fields, proved to
have a decidable theory (see Prestel-Schmid and van den Dries-A. Macintyre).
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:35:40 GMT""}]","2023-05-23"
"2305.12227","Jian Tan","Jian Tan","Product Hardy spaces meet ball quasi-Banach function spaces","27 pages",,,,"math.FA math.CA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The main purpose of this paper is to develop the theory of product Hardy
spaces built on Banach lattices on $\mathbb R^n\times\mathbb R^m$. First we
introduce new product Hardy spaces ${H}_X(\mathbb R^n\times\mathbb R^m)$
associated with ball quasi-Banach function spaces $X(\mathbb R^n\times\mathbb
R^m)$ via applying the Littlewood-Paley-Stein theory. Then we establish a
decomposition theorem for ${H}_X(\mathbb R^n\times\mathbb R^m)$ in terms of the
discrete Calder\'on's identity. Moreover, we explore some useful and general
extrapolation theorems of Rubio de Francia on $X(\mathbb R^n\times\mathbb R^m)$
and give some applications to boundedness of operators. Finally, we conclude
that the two-parameter singular integral operators $\widetilde T$ are bounded
from ${H}_X(\mathbb R^n\times\mathbb R^m)$ to itself and bounded from
${H}_X(\mathbb R^n\times\mathbb R^m)$ to $X(\mathbb R^n\times\mathbb R^m)$ via
extrapolation. The main results obtained in this paper have a wide range of
generality. Especially, we can apply these results to many concrete examples of
ball quasi-Banach function spaces, including product Herz spaces, weighted
product Morrey spaces and product Musielak--Orlicz--type spaces.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:36:15 GMT""}]","2023-05-23"
"2305.12228","Yiming Chen","Yiming Chen, Simin Chen, Zexin Li, Wei Yang, Cong Liu, Robby T. Tan,
  Haizhou Li","Dynamic Transformers Provide a False Sense of Efficiency","Accepted by ACL2023",,,,"cs.CL","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Despite much success in natural language processing (NLP), pre-trained
language models typically lead to a high computational cost during inference.
Multi-exit is a mainstream approach to address this issue by making a trade-off
between efficiency and accuracy, where the saving of computation comes from an
early exit. However, whether such saving from early-exiting is robust remains
unknown. Motivated by this, we first show that directly adapting existing
adversarial attack approaches targeting model accuracy cannot significantly
reduce inference efficiency. To this end, we propose a simple yet effective
attacking framework, SAME, a novel slowdown attack framework on multi-exit
models, which is specially tailored to reduce the efficiency of the multi-exit
models. By leveraging the multi-exit models' design characteristics, we utilize
all internal predictions to guide the adversarial sample generation instead of
merely considering the final prediction. Experiments on the GLUE benchmark show
that SAME can effectively diminish the efficiency gain of various multi-exit
models by 80% on average, convincingly validating its effectiveness and
generalization ability.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:41:48 GMT""}]","2023-05-23"
"2305.12229","Firas Dhaouadi","Firas Dhaouadi and Sergey Gavrilyuk","An Eulerian hyperbolic model for heat transfer derived via Hamilton's
  principle: analytical and numerical study","27 pages, 9 figures",,,,"math.AP cs.NA math.NA physics.flu-dyn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we present a new model for heat transfer in compressible fluid
flows. The model is derived from Hamilton's principle of stationary action in
Eulerian coordinates, in a setting where the entropy conservation is recovered
as an Euler--Lagrange equation. The governing system is shown to be hyperbolic.
It is asymptotically consistent with the Euler equations for compressible heat
conducting fluids, provided the addition of suitable relaxation terms. A study
of the Rankine--Hugoniot conditions and the Clausius--Duhem inequality reveals
that contact discontinuities cannot exist while expansion waves and compression
fans are possible solutions to the governing equations. Evidence of these
properties is provided on a set of numerical test cases.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:44:14 GMT""}]","2023-05-23"
"2305.12230","Nikolai Moshchevitin Prof.","Nikolay Moshchevitin","A note on well distributed sequences","4 pages, short communication",,,,"math.NT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove an easy statement about inhomogeneous approximation in metric theory
of Diophantine Approximation.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:49:20 GMT""}]","2023-05-23"
"2305.12231","Jie Liu","Chen Wenting, Liu Jie and Yuan Yixuan","Bi-VLGM : Bi-Level Class-Severity-Aware Vision-Language Graph Matching
  for Text Guided Medical Image Segmentation",,,,,"eess.IV cs.CV cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Medical reports with substantial information can be naturally complementary
to medical images for computer vision tasks, and the modality gap between
vision and language can be solved by vision-language matching (VLM). However,
current vision-language models distort the intra-model relation and mainly
include class information in prompt learning that is insufficient for
segmentation task. In this paper, we introduce a Bi-level class-severity-aware
Vision-Language Graph Matching (Bi-VLGM) for text guided medical image
segmentation, composed of a word-level VLGM module and a sentence-level VLGM
module, to exploit the class-severity-aware relation among visual-textual
features. In word-level VLGM, to mitigate the distorted intra-modal relation
during VLM, we reformulate VLM as graph matching problem and introduce a
vision-language graph matching (VLGM) to exploit the high-order relation among
visual-textual features. Then, we perform VLGM between the local features for
each class region and class-aware prompts to bridge their gap. In
sentence-level VLGM, to provide disease severity information for segmentation
task, we introduce a severity-aware prompting to quantify the severity level of
retinal lesion, and perform VLGM between the global features and the
severity-aware prompts. By exploiting the relation between the local (global)
and class (severity) features, the segmentation model can selectively learn the
class-aware and severity-aware information to promote performance. Extensive
experiments prove the effectiveness of our method and its superiority to
existing methods. Source code is to be released.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:50:45 GMT""}]","2023-05-23"
"2305.12232","Omri Haim","Omri Haim, Jeremy Boger-Lombard, Ori Katz","Image-guided Computational Holographic Wavefront Shaping","19 pages, 5 figures",,,,"physics.optics physics.app-ph physics.med-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Optical imaging through scattering media is an important challenge in a
variety of fields ranging from microscopy to autonomous vehicles. While
advanced wavefront shaping techniques have offered significant breakthroughs in
the past decade, current techniques still require a known guide-star and a
high-resolution spatial-light-modulator (SLM), or a very large number of
measurements, and are limited in their correction field-of-view. Here, we
introduce a guide-star free noninvasive approach that is able to correct more
than $3\cdot 10^5$ scattered modes using just $100$ holographically measured
scattered random light fields. This is achieved by computationally emulating an
image-guided wavefront-shaping experiment, where several 'virtual SLMs' are
simultaneously optimized to maximize the reconstructed image quality. Our
method shifts the burden from the physical hardware to a digital,
naturally-parallelizable computation, leveraging state-of-the-art
automatic-differentiation optimization tools used for the training of
neural-networks. We demonstrate the flexibility and generality of this
framework by applying it to imaging through various complex samples and imaging
modalities, including anisoplanatic multi-conjugate correction of highly
scattering layers, lensless-endoscopy in multicore fibers, and acousto-optic
tomography. The versatility, effectiveness, and generality of the presented
approach have great potential for rapid noninvasive imaging in diverse
applications.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:51:50 GMT""}]","2023-05-23"
"2305.12233","Dylan Cope","Dylan Cope, Peter McBurney","A Measure of Explanatory Effectiveness","Presented at the 1st International Workshop on Trusted Automated
  Decision-Making (TADM) co-located with ETAPS 2021",,,,"cs.CL","http://creativecommons.org/licenses/by/4.0/","  In most conversations about explanation and AI, the recipient of the
explanation (the explainee) is suspiciously absent, despite the problem being
ultimately communicative in nature. We pose the problem `explaining AI systems'
in terms of a two-player cooperative game in which each agent seeks to maximise
our proposed measure of explanatory effectiveness. This measure serves as a
foundation for the automated assessment of explanations, in terms of the
effects that any given action in the game has on the internal state of the
explainee.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:52:30 GMT""}]","2023-05-23"
"2305.12234","Philip Metzger","Philip T. Metzger, James G. Mantovani","The Damage to Lunar Orbiting Spacecraft Caused by the Ejecta of Lunar
  Landers","10 pagers, 8 figures","In Earth and Space 2021, pp. 136-145. 2021","10.1061/9780784483374.014",,"astro-ph.EP astro-ph.IM physics.flu-dyn physics.space-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This manuscript analyzes lunar lander soil erosion models and trajectory
models to calculate how much damage will occur to spacecraft orbiting in the
vicinity of the Moon. The soil erosion models have considerable uncertainty due
to gaps in our understanding of the basic physics. The results for ~40 t
landers show that the Lunar Orbital Gateway will be impacted by 1000s to
10,000s of particles per square meter but the particle sizes are very small and
the impact velocity is low so the damage will be slight. However, a spacecraft
in Low Lunar Orbit that happens to pass through the ejecta sheet will sustain
extensive damage with hundreds of millions of impacts per square meter:
although they are small, they are in the hypervelocity regime, and exposed
glass on the spacecraft will sustain spallation over 4% of its surface.
","[{""version"":""v1"",""created"":""Sat, 20 May 2023 16:58:41 GMT""}]","2023-05-23"
